Time (ps)	Intensity (cps)
10036.2438	0
10046.0544	0
10055.8650	0
10065.6756	0
10075.4862	5
10085.2968	1
10095.1074	1
10104.9180	3
10114.7286	2
10124.5392	1
10134.3498	2
10144.1604	2
10153.9710	1
10163.7816	5
10173.5922	1
10183.4028	0
10193.2134	1
10203.0240	3
10212.8346	3
10222.6452	0
10232.4558	0
10242.2664	3
10252.0770	0
10261.8876	1
10271.6982	0
10281.5088	2
10291.3194	1
10301.1300	2
10310.9406	0
10320.7512	2
10330.5618	0
10340.3724	0
10350.1830	0
10359.9936	2
10369.8042	1
10379.6148	0
10389.4254	1
10399.2360	3
10409.0466	0
10418.8572	0
10428.6678	2
10438.4784	3
10448.2890	2
10458.0996	0
10467.9102	0
10477.7208	1
10487.5314	1
10497.3420	1
10507.1526	1
10516.9632	1
10526.7738	2
10536.5844	2
10546.3950	2
10556.2056	2
10566.0162	2
10575.8268	2
10585.6374	1
10595.4480	1
10605.2586	1
10615.0692	3
10624.8798	1
10634.6904	0
10644.5010	1
10654.3116	0
10664.1222	0
10673.9328	3
10683.7434	0
10693.5540	1
10703.3646	2
10713.1752	1
10722.9858	1
10732.7964	2
10742.6070	3
10752.4176	2
10762.2282	0
10772.0388	0
10781.8494	3
10791.6600	2
10801.4706	1
10811.2812	2
10821.0918	0
10830.9024	1
10840.7130	2
10850.5236	0
10860.3342	2
10870.1448	1
10879.9554	1
10889.7660	2
10899.5766	2
10909.3872	0
10919.1978	0
10929.0084	1
10938.8190	1
10948.6296	3
10958.4402	1
10968.2508	2
10978.0614	2
10987.8720	3
10997.6826	1
11007.4932	1
11017.3038	0
11027.1144	1
11036.9250	1
11046.7356	0
11056.5462	4
11066.3568	1
11076.1674	3
11085.9780	0
11095.7886	0
11105.5992	2
11115.4098	0
11125.2204	0
11135.0310	0
11144.8416	0
11154.6522	1
11164.4628	3
11174.2734	1
11184.0840	1
11193.8946	2
11203.7052	1
11213.5158	0
11223.3264	0
11233.1370	1
11242.9476	2
11252.7582	0
11262.5688	0
11272.3794	0
11282.1900	2
11292.0006	0
11301.8112	0
11311.6218	0
11321.4324	2
11331.2430	3
11341.0536	1
11350.8642	0
11360.6748	1
11370.4854	2
11380.2960	2
11390.1066	3
11399.9172	0
11409.7278	1
11419.5384	2
11429.3490	0
11439.1596	1
11448.9702	0
11458.7808	2
11468.5914	2
11478.4020	1
11488.2126	1
11498.0232	0
11507.8338	0
11517.6444	0
11527.4550	4
11537.2656	2
11547.0762	2
11556.8868	1
11566.6974	0
11576.5080	2
11586.3186	0
11596.1292	1
11605.9398	2
11615.7504	4
11625.5610	1
11635.3716	0
11645.1822	1
11654.9928	0
11664.8034	2
11674.6140	0
11684.4246	2
11694.2352	2
11704.0458	1
11713.8564	1
11723.6670	2
11733.4776	1
11743.2882	2
11753.0988	1
11762.9094	0
11772.7200	2
11782.5306	2
11792.3412	3
11802.1518	3
11811.9624	1
11821.7730	2
11831.5836	3
11841.3942	0
11851.2048	0
11861.0154	2
11870.8260	1
11880.6366	2
11890.4472	0
11900.2578	2
11910.0684	0
11919.8790	1
11929.6896	0
11939.5002	1
11949.3108	0
11959.1214	1
11968.9320	2
11978.7426	1
11988.5532	1
11998.3638	2
12008.1744	1
12017.9850	1
12027.7956	0
12037.6062	0
12047.4168	1
12057.2274	3
12067.0380	1
12076.8486	1
12086.6592	0
12096.4698	1
12106.2804	0
12116.0910	2
12125.9016	0
12135.7122	0
12145.5228	0
12155.3334	2
12165.1440	2
12174.9546	0
12184.7652	1
12194.5758	0
12204.3864	2
12214.1970	1
12224.0076	3
12233.8182	0
12243.6288	0
12253.4394	1
12263.2500	1
12273.0606	2
12282.8712	7
12292.6818	1
12302.4924	3
12312.3030	1
12322.1136	2
12331.9242	2
12341.7348	1
12351.5454	2
12361.3560	0
12371.1666	2
12380.9772	0
12390.7878	0
12400.5984	3
12410.4090	1
12420.2196	0
12430.0302	1
12439.8408	0
12449.6514	2
12459.4620	0
12469.2726	1
12479.0832	2
12488.8938	0
12498.7044	0
12508.5150	0
12518.3256	2
12528.1362	0
12537.9468	0
12547.7574	1
12557.5680	1
12567.3786	0
12577.1892	0
12586.9998	1
12596.8104	0
12606.6210	0
12616.4316	1
12626.2422	2
12636.0528	0
12645.8634	0
12655.6740	3
12665.4846	1
12675.2952	1
12685.1058	0
12694.9164	0
12704.7270	0
12714.5376	1
12724.3482	2
12734.1588	0
12743.9694	0
12753.7800	0
12763.5906	0
12773.4012	0
12783.2118	1
12793.0224	1
12802.8330	0
12812.6436	0
12822.4542	0
12832.2648	0
12842.0754	0
12851.8860	1
12861.6966	1
12871.5072	0
12881.3178	3
12891.1284	0
12900.9390	0
12910.7496	1
12920.5602	2
12930.3708	2
12940.1814	1
12949.9920	2
12959.8026	0
12969.6132	0
12979.4238	1
12989.2344	1
12999.0450	2
13008.8556	0
13018.6662	0
13028.4768	0
13038.2874	1
13048.0980	2
13057.9086	0
13067.7192	2
13077.5298	0
13087.3404	0
13097.1510	2
13106.9616	0
13116.7722	1
13126.5828	1
13136.3934	0
13146.2040	0
13156.0146	0
13165.8252	0
13175.6358	0
13185.4464	0
13195.2570	0
13205.0676	0
13214.8782	2
13224.6888	1
13234.4994	0
13244.3100	0
13254.1206	0
13263.9312	0
13273.7418	1
13283.5524	2
13293.3630	0
13303.1736	0
13312.9842	2
13322.7948	0
13332.6054	0
13342.4160	0
13352.2266	3
13362.0372	0
13371.8478	2
13381.6584	0
13391.4690	1
13401.2796	2
13411.0902	1
13420.9008	0
13430.7114	1
13440.5220	1
13450.3326	0
13460.1432	1
13469.9538	1
13479.7644	1
13489.5750	2
13499.3856	1
13509.1962	1
13519.0068	0
13528.8174	0
13538.6280	3
13548.4386	0
13558.2492	1
13568.0598	0
13577.8704	1
13587.6810	1
